name,season,competition,nation,position,team,age,year_born,matches,starts,minutes,full_games,goals,assists,G+A,non-PK_goals,PK_goals,PK_att,yellow_cards,red_cards,xG,xG_nonpenalty,xGnp+xGA,xGA,progressive_carries,progressive_passes
Max Aarons,24/25,Premier League,ENG,DF,Bournemouth,24,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8
Joshua Acheampong,24/25,Premier League,ENG,DF,Chelsea,18,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.0,0,8
Tyler Adams,24/25,Premier League,USA,MF,Bournemouth,25,1999,28,21,"1,965",21.8,0,3,3,0,0,0,7,0,1.6,1.6,2.6,1.0,14,76
Tosin Adarabioyo,24/25,Premier League,ENG,DF,Chelsea,26,1997,22,15,"1,409",15.7,1,1,2,1,0,0,4,0,0.9,0.9,1.2,0.2,5,42
Simon Adingra,24/25,Premier League,CIV,"FW,MF",Brighton,22,2002,29,12,"1,097",12.2,2,2,4,2,0,0,0,0,2.5,2.5,4.9,2.5,50,18
Emmanuel Agbadou,24/25,Premier League,CIV,DF,Wolves,27,1997,16,16,"1,410",15.7,1,0,1,1,0,0,3,0,0.8,0.8,1.1,0.2,6,31
Asher Agbinone,24/25,Premier League,ENG,MF,Crystal Palace,18,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,2,0
Ola Aina,24/25,Premier League,NGA,DF,Nott'ham Forest,27,1996,35,35,"2,995",33.3,2,1,3,2,0,0,5,0,0.6,0.6,2.1,1.4,67,107
Rayan Aït-Nouri,24/25,Premier League,ALG,DF,Wolves,23,2001,37,37,"3,109",34.5,4,7,11,4,0,0,7,1,2.7,2.7,8.2,5.5,89,108
Kristoffer Ajer,24/25,Premier League,NOR,DF,Brentford,26,1998,24,17,"1,438",16.0,0,0,0,0,0,0,5,0,1.0,1.0,2.2,1.2,27,56
Manuel Akanji,24/25,Premier League,SUI,DF,Manchester City,29,1995,26,23,"2,014",22.4,0,0,0,0,0,0,3,0,1.6,1.6,1.9,0.4,46,158
Nathan Aké,24/25,Premier League,NED,DF,Manchester City,29,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.0,12,50
Carlos Alcaraz,24/25,Premier League,ARG,MF,Southampton,21,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,4,6
Carlos Alcaraz,24/25,Premier League,ARG,"FW,MF",Everton,21,2002,15,7,764,8.5,2,3,5,2,0,0,4,0,1.7,1.7,3.4,1.6,19,42
Trent Alexander-Arnold,24/25,Premier League,ENG,DF,Liverpool,25,1998,33,28,"2,365",26.3,3,6,9,3,0,0,5,0,1.9,1.9,9.2,7.3,51,232
Alisson,24/25,Premier League,BRA,GK,Liverpool,31,1992,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1
Miguel Almirón,24/25,Premier League,PAR,FW,Newcastle Utd,30,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.8,0.3,3,6
Olabade Aluko,24/25,Premier League,,DF,Leicester City,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Edson Álvarez,24/25,Premier League,MEX,MF,West Ham,26,1997,28,20,"1,772",19.7,0,1,1,0,0,0,9,1,0.4,0.4,1.2,0.8,24,85
Will Alves,24/25,Premier League,ENG,FW,Leicester City,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Harry Amass,24/25,Premier League,ENG,DF,Manchester Utd,17,2007,5,4,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.0,9,7
Samuel Amo-Ameyaw,24/25,Premier League,ENG,"FW,DF",Southampton,18,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0
Mathis Amougou,24/25,Premier League,FRA,MF,Chelsea,18,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1
Joachim Andersen,24/25,Premier League,DEN,DF,Crystal Palace,28,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4
Joachim Andersen,24/25,Premier League,DEN,DF,Fulham,28,1996,29,29,"2,583",28.7,0,0,0,0,0,0,6,1,1.0,1.0,1.5,0.5,16,112
Elliot Anderson,24/25,Premier League,ENG,MF,Nott'ham Forest,21,2002,37,33,"2,728",30.3,2,6,8,2,0,0,10,0,2.1,2.1,5.4,3.3,52,143
André,24/25,Premier League,BRA,MF,Wolves,23,2001,33,31,"2,472",27.5,0,0,0,0,0,0,7,0,0.4,0.4,1.3,0.8,10,109
Michail Antonio,24/25,Premier League,JAM,FW,West Ham,34,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,3.8,1.6,29,18
Antony,24/25,Premier League,BRA,"DF,MF",Manchester Utd,24,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,1.1,0.1,5,6
Julian Araujo,24/25,Premier League,MEX,DF,Bournemouth,22,2001,12,7,497,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,14
Cameron Archer,24/25,Premier League,ENG,FW,Southampton,23,2001,35,13,"1,441",16.0,2,0,2,2,0,1,0,0,5.7,4.9,5.4,0.5,22,14
Alphonse Areola,24/25,Premier League,FRA,GK,West Ham,31,1993,26,25,"2,260",25.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1
Joe Aribo,24/25,Premier League,NGA,"MF,DF",Southampton,28,1996,32,21,"2,013",22.4,3,0,3,3,0,0,1,0,2.7,2.7,4.3,1.6,36,75
Adam Armstrong,24/25,Premier League,ENG,"FW,MF",Southampton,27,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,3.5,1.2,25,21
Harrison Armstrong,24/25,Premier League,ENG,MF,Everton,17,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.1,1,1
Kepa Arrizabalaga,24/25,Premier League,ESP,GK,Bournemouth,29,1994,31,31,"2,790",31.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.0,0,2
Marco Asensio,24/25,Premier League,ESP,MF,Aston Villa,28,1996,13,9,743,8.3,3,1,4,3,0,2,2,0,4.4,2.9,3.8,1.0,22,45
Brandon Austin,24/25,Premier League,ENG,GK,Tottenham,25,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Taiwo Awoniyi,24/25,Premier League,NGA,FW,Nott'ham Forest,26,1997,26,3,416,4.6,1,0,1,1,0,0,0,0,2.1,2.1,2.2,0.1,6,7
Yasin Ayari,24/25,Premier League,SWE,MF,Brighton,20,2003,34,22,"1,965",21.8,2,1,3,2,0,0,3,0,2.4,2.4,4.8,2.3,30,75
Jordan Ayew,24/25,Premier League,GHA,"FW,MF",Crystal Palace,32,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0.0,0,0
Jordan Ayew,24/25,Premier League,GHA,"FW,MF",Leicester City,32,1991,30,19,"1,638",18.2,5,0,5,4,1,1,5,0,3.2,2.4,3.5,1.1,49,46
Benoît Badiashile,24/25,Premier League,FRA,DF,Chelsea,23,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17
Leon Bailey,24/25,Premier League,JAM,"FW,MF",Aston Villa,26,1997,24,14,"1,139",12.7,1,2,3,1,0,0,3,0,1.7,1.7,3.3,1.5,58,35
Carlos Baleba,24/25,Premier League,CMR,MF,Brighton,20,2004,34,31,"2,661",29.6,3,1,4,3,0,0,8,1,3.1,3.1,4.4,1.3,43,118
Ross Barkley,24/25,Premier League,ENG,MF,Aston Villa,30,1993,20,3,581,6.5,3,1,4,3,0,0,3,0,1.8,1.8,2.4,0.6,15,36
Harvey Barnes,24/25,Premier League,ENG,FW,Newcastle Utd,26,1997,33,17,"1,755",19.5,9,4,13,9,0,0,0,0,7.2,7.2,11.2,4.0,93,83
Calvin Bassey,24/25,Premier League,NGA,DF,Fulham,24,1999,35,34,"3,074",34.2,1,0,1,1,0,0,7,0,1.0,1.0,1.2,0.1,39,116
Altay Bayındır,24/25,Premier League,TUR,GK,Manchester Utd,26,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Jan Bednarek,24/25,Premier League,POL,DF,Southampton,28,1996,30,30,"2,531",28.1,2,0,2,2,0,0,7,0,0.7,0.7,1.2,0.5,5,60
Armel Bella Kotchap,24/25,Premier League,GER,DF,Southampton,22,2001,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.0,0,5
Jean-Ricner Bellegarde,24/25,Premier League,FRA,"MF,FW",Wolves,26,1998,35,20,"1,677",18.6,2,7,9,2,0,0,3,0,1.5,1.5,5.3,3.8,52,43
Rodrigo Bentancur,24/25,Premier League,URU,MF,Tottenham,27,1997,26,21,"1,645",18.3,2,0,2,2,0,0,9,0,1.3,1.3,1.7,0.4,28,100
Daniel Bentley,24/25,Premier League,ENG,GK,Wolves,31,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Sander Berge,24/25,Premier League,NOR,MF,Fulham,26,1998,31,26,"2,224",24.7,0,0,0,0,0,0,6,0,0.4,0.4,1.0,0.6,29,124
Lucas Bergvall,24/25,Premier League,SWE,MF,Tottenham,18,2006,27,11,"1,212",13.5,0,1,1,0,0,0,3,0,0.7,0.7,1.3,0.6,33,49
Victor Bernth Kristiansen,24/25,Premier League,DEN,DF,Leicester City,21,2002,30,29,"2,482",27.6,0,1,1,0,0,0,1,0,0.3,0.3,1.7,1.4,40,70
Beto,24/25,Premier League,GNB,FW,Everton,26,1998,30,15,"1,534",17.0,8,0,8,8,0,0,2,0,8.2,8.2,9.4,1.2,15,16
Philip Billing,24/25,Premier League,DEN,MF,Bournemouth,28,1996,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.7,1.1,3,15
Yves Bissouma,24/25,Premier League,MLI,MF,Tottenham,27,1996,28,16,"1,408",15.6,2,0,2,2,0,0,7,0,0.6,0.6,0.9,0.3,15,75
Oscar Bobb,24/25,Premier League,NOR,FW,Manchester City,21,2003,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1
Lamare Bogarde,24/25,Premier League,NED,"DF,MF",Aston Villa,20,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.1,12,14
Willy Boly,24/25,Premier League,CIV,DF,Nott'ham Forest,33,1991,6,1,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.0,0,2
Sven Botman,24/25,Premier League,NED,DF,Newcastle Utd,24,2000,8,6,412,4.6,0,0,0,0,0,0,1,0,0.5,0.5,1.1,0.5,0,7
Jarrod Bowen,24/25,Premier League,ENG,"FW,MF",West Ham,27,1996,34,34,"2,973",33.0,13,8,21,12,1,1,1,0,8.6,7.8,14.7,6.8,109,91
Conor Bradley,24/25,Premier League,NIR,DF,Liverpool,21,2003,19,7,754,8.4,0,2,2,0,0,0,4,0,0.7,0.7,2.1,1.4,35,33
Jarrad Branthwaite,24/25,Premier League,ENG,DF,Everton,22,2002,30,28,"2,511",27.9,0,1,1,0,0,0,4,0,1.2,1.2,1.9,0.7,10,66
James Bree,24/25,Premier League,ENG,DF,Southampton,26,1997,17,13,"1,075",11.9,0,1,1,0,0,0,0,0,0.1,0.1,1.0,0.9,13,34
Ben Brereton,24/25,Premier League,CHI,FW,Southampton,25,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,1.0,0.1,12,9
Nathan Broadhead,24/25,Premier League,WAL,"MF,FW",Ipswich Town,26,1998,18,7,702,7.8,2,0,2,2,0,0,1,0,1.7,1.7,2.4,0.7,20,14
Armando Broja,24/25,Premier League,ALB,FW,Everton,22,2001,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.2,12,2
David Brooks,24/25,Premier League,WAL,"FW,MF",Bournemouth,27,1997,29,9,960,10.7,2,0,2,2,0,0,3,0,2.5,2.5,4.4,1.9,35,35
Emi Buendía,24/25,Premier League,ARG,"MF,FW",Aston Villa,27,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.7,0.0,3,7
Santiago Bueno,24/25,Premier League,URU,DF,Wolves,25,1998,29,18,"1,687",18.7,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.0,1,28
Facundo Buonanotte,24/25,Premier League,ARG,"FW,MF",Leicester City,19,2004,31,14,"1,523",16.9,5,2,7,5,0,0,8,0,3.9,3.9,7.0,3.1,39,54
Cameron Burgess,24/25,Premier League,AUS,DF,Ipswich Town,28,1995,18,16,"1,541",17.1,0,2,2,0,0,0,0,0,1.1,1.1,1.6,0.5,2,42
Dan Burn,24/25,Premier League,ENG,DF,Newcastle Utd,32,1992,37,37,"3,330",37.0,1,1,2,1,0,0,11,0,2.0,2.0,2.8,0.9,12,75
Wes Burns,24/25,Premier League,WAL,"FW,DF",Ipswich Town,29,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,2.2,1.6,38,8
Nathan Butler-Oyedeji,24/25,Premier League,ENG,FW,Arsenal,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.0,0,0
Moisés Caicedo,24/25,Premier League,ECU,"MF,DF",Chelsea,22,2001,38,38,"3,351",37.2,1,2,3,1,0,0,11,0,0.8,0.8,3.8,3.0,43,215
Tom Cairney,24/25,Premier League,SCO,MF,Fulham,33,1991,25,3,628,7.0,2,0,2,2,0,0,3,1,0.8,0.8,1.8,1.1,18,53
Jens Cajuste,24/25,Premier League,SWE,MF,Ipswich Town,24,1999,30,25,"1,959",21.8,1,1,2,1,0,0,2,0,0.7,0.7,1.5,0.8,26,59
Riccardo Calafiori,24/25,Premier League,ITA,DF,Arsenal,22,2002,19,11,983,10.9,2,1,3,2,0,0,4,0,0.9,0.9,1.1,0.3,22,54
Dominic Calvert-Lewin,24/25,Premier League,ENG,FW,Everton,27,1997,26,19,"1,609",17.9,3,1,4,3,0,0,2,0,6.7,6.7,7.4,0.6,23,20
Diego Carlos,24/25,Premier League,BRA,DF,Aston Villa,31,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.6,0.0,3,34
Fabio Carvalho,24/25,Premier League,POR,"FW,MF",Brentford,21,2002,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,3.2,0.7,9,17
Casemiro,24/25,Premier League,BRA,MF,Manchester Utd,32,1992,24,18,"1,494",16.6,1,0,1,1,0,0,5,0,1.9,1.9,4.2,2.3,4,84
Kaelan Casey,24/25,Premier League,ENG,DF,West Ham,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Matty Cash,24/25,Premier League,POL,DF,Aston Villa,26,1997,27,24,"2,070",23.0,1,1,2,1,0,0,7,0,0.5,0.5,1.6,1.1,48,42
Eiran Cashin,24/25,Premier League,IRL,DF,Brighton,22,2001,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6
Timothy Castagne,24/25,Premier League,BEL,DF,Fulham,28,1995,24,17,"1,649",18.3,0,1,1,0,0,0,1,0,0.4,0.4,1.6,1.2,17,62
Trevoh Chalobah,24/25,Premier League,ENG,DF,Crystal Palace,25,1999,12,12,"1,060",11.8,3,0,3,3,0,0,1,0,1.2,1.2,1.6,0.4,11,34
Trevoh Chalobah,24/25,Premier League,ENG,DF,Chelsea,25,1999,13,11,910,10.1,0,1,1,0,0,0,2,0,0.8,0.8,2.0,1.2,4,37
Conor Chaplin,24/25,Premier League,ENG,"MF,FW",Ipswich Town,27,1997,22,10,857,9.5,1,1,2,1,0,0,2,0,1.5,1.5,2.2,0.7,13,29
Youssef Chermiti,24/25,Premier League,POR,"FW,MF",Everton,20,2004,4,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.0,0,1
Federico Chiesa,24/25,Premier League,ITA,FW,Liverpool,26,1997,6,1,108,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.2,3,3
Ben Chilwell,24/25,Premier League,ENG,DF,Crystal Palace,27,1996,8,1,259,2.9,1,0,1,1,0,0,1,0,0.2,0.2,1.0,0.8,5,8
Chiquinho,24/25,Premier League,POR,MF,Wolves,24,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Hamza Choudhury,24/25,Premier League,BAN,"MF,DF",Leicester City,26,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3
Ryan Christie,24/25,Premier League,SCO,MF,Bournemouth,29,1995,29,27,"2,117",23.5,2,3,5,2,0,0,9,0,1.8,1.8,5.4,3.5,34,137
Harry Clarke,24/25,Premier League,ENG,DF,Ipswich Town,23,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.0,5,14
Jack Clarke,24/25,Premier League,ENG,"FW,MF",Ipswich Town,23,2000,32,12,"1,181",13.1,0,4,4,0,0,0,2,0,1.2,1.2,3.5,2.3,39,44
Nathaniel Clyne,24/25,Premier League,ENG,"DF,MF",Crystal Palace,33,1991,13,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7
Conor Coady,24/25,Premier League,ENG,DF,Leicester City,31,1993,22,19,"1,714",19.0,1,0,1,1,0,0,3,0,0.4,0.4,0.5,0.1,3,32
Séamus Coleman,24/25,Premier League,IRL,DF,Everton,35,1988,5,3,215,2.4,0,0,0,0,0,0,1,0,0.6,0.6,0.6,0.0,1,11
Nathan Collins,24/25,Premier League,IRL,DF,Brentford,23,2001,38,38,"3,420",38.0,2,3,5,2,0,0,5,0,2.5,2.5,4.3,1.8,32,127
Toby Collyer,24/25,Premier League,ENG,MF,Manchester Utd,20,2004,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.3,0,5
Levi Colwill,24/25,Premier League,ENG,DF,Chelsea,21,2003,35,35,"3,149",35.0,2,1,3,2,0,0,9,0,1.9,1.9,3.0,1.1,14,131
Lewis Cook,24/25,Premier League,ENG,"MF,DF",Bournemouth,27,1997,36,32,"2,978",33.1,1,3,4,1,0,0,8,1,0.9,0.9,5.1,4.1,33,158
Maxwel Cornet,24/25,Premier League,CIV,FW,Southampton,27,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.0,1,0
Vladimír Coufal,24/25,Premier League,CZE,DF,West Ham,31,1992,22,11,"1,067",11.9,0,0,0,0,0,0,5,0,0.3,0.3,1.0,0.7,26,39
Woyo Coulibaly,24/25,Premier League,MLI,DF,Leicester City,25,1999,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3
Aaron Cresswell,24/25,Premier League,ENG,DF,West Ham,34,1989,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.6,1.3,6,36
Marc Cucurella,24/25,Premier League,ESP,DF,Chelsea,26,1998,36,33,"2,988",33.2,5,1,6,5,0,0,10,1,2.8,2.8,4.9,2.1,35,118
Jorge Cuenca,24/25,Premier League,ESP,DF,Fulham,24,1999,8,4,351,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10
Matheus Cunha,24/25,Premier League,BRA,"MF,FW",Wolves,25,1999,33,29,"2,597",28.9,15,6,21,15,0,0,4,0,8.6,8.6,16.4,7.7,112,144
Patson Daka,24/25,Premier League,ZAM,"FW,MF",Leicester City,25,1998,23,6,736,8.2,1,0,1,1,0,0,0,0,1.3,1.3,1.3,0.1,11,8
Diogo Dalot,24/25,Premier League,POR,DF,Manchester Utd,25,1999,33,31,"2,814",31.3,0,3,3,0,0,0,5,0,2.0,2.0,4.1,2.0,62,103
Mikkel Damsgaard,24/25,Premier League,DEN,"MF,FW",Brentford,24,2000,38,34,"2,911",32.3,2,10,12,2,0,0,2,0,2.8,2.8,11.2,8.4,73,234
Danilo,24/25,Premier League,BRA,"MF,FW",Nott'ham Forest,23,2001,8,5,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11
Jayden Danns,24/25,Premier League,ENG,MF,Liverpool,18,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Kevin Danso,24/25,Premier League,AUT,DF,Tottenham,25,1998,10,9,842,9.4,0,0,0,0,0,0,0,0,0.4,0.4,0.5,0.1,11,19
Ben Davies,24/25,Premier League,WAL,DF,Tottenham,31,1993,17,14,"1,331",14.8,0,0,0,0,0,0,5,0,0.3,0.3,0.5,0.2,14,52
Leif Davis,24/25,Premier League,ENG,DF,Ipswich Town,24,2000,33,32,"2,743",30.5,1,2,3,1,0,0,5,1,1.0,1.0,5.8,4.9,52,59
Craig Dawson,24/25,Premier League,ENG,DF,Wolves,34,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.5,0.0,6,20
Kevin De Bruyne,24/25,Premier League,BEL,"MF,FW",Manchester City,33,1991,28,19,"1,702",18.9,4,7,11,4,0,0,2,0,5.1,5.1,13.1,8.0,51,157
Bobby De Cordova-Reid,24/25,Premier League,JAM,FW,Leicester City,31,1993,23,9,744,8.3,1,2,3,1,0,0,2,0,0.8,0.8,2.0,1.2,14,15
Liam Delap,24/25,Premier League,ENG,FW,Ipswich Town,21,2003,37,32,"2,593",28.8,12,2,14,10,2,2,12,0,9.3,7.8,9.7,1.9,61,30
Sepp van den Berg,24/25,Premier League,NED,DF,Brentford,22,2001,31,29,"2,586",28.7,0,0,0,0,0,0,3,0,2.0,2.0,2.8,0.8,12,79
Justin Devenny,24/25,Premier League,NIR,MF,Crystal Palace,20,2003,23,4,507,5.6,1,1,2,1,0,0,1,0,0.8,0.8,1.4,0.6,5,21
Kiernan Dewsbury-Hall,24/25,Premier League,ENG,"MF,FW",Chelsea,25,1998,13,2,264,2.9,0,1,1,0,0,0,0,0,0.2,0.2,1.3,1.1,5,14
Amad Diallo,24/25,Premier League,CIV,"MF,FW",Manchester Utd,22,2002,26,20,"1,901",21.1,8,6,14,8,0,0,5,0,4.7,4.7,9.6,4.9,109,60
Rúben Dias,24/25,Premier League,POR,DF,Manchester City,27,1997,27,25,"2,271",25.2,0,0,0,0,0,0,4,0,1.5,1.5,1.8,0.3,43,160
Luis Díaz,24/25,Premier League,COL,FW,Liverpool,27,1997,36,28,"2,399",26.7,13,5,18,13,0,0,2,0,12.0,12.0,17.1,5.0,108,110
Tyler Dibling,24/25,Premier League,ENG,"FW,MF",Southampton,18,2006,33,20,"1,874",20.8,2,0,2,2,0,0,6,0,2.5,2.5,4.1,1.5,69,64
Lucas Digne,24/25,Premier League,FRA,DF,Aston Villa,31,1993,32,28,"2,351",26.1,0,4,4,0,0,0,4,0,0.8,0.8,5.5,4.7,23,57
Issa Diop,24/25,Premier League,FRA,DF,Fulham,27,1997,21,15,"1,339",14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.6,0.1,6,25
Axel Disasi,24/25,Premier League,FRA,DF,Aston Villa,26,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.4,10,16
Axel Disasi,24/25,Premier League,FRA,DF,Chelsea,26,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.4,0.1,6,16
Roman Dixon,24/25,Premier League,ENG,DF,Everton,19,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Nasser Djiga,24/25,Premier League,BFA,DF,Wolves,21,2002,5,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3
Matt Doherty,24/25,Premier League,IRL,DF,Wolves,32,1992,30,25,"2,109",23.4,2,1,3,2,0,0,6,0,1.0,1.0,2.6,1.5,29,79
